NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
(MPDS) MEIO AMBIENTE, PESSOAS E O DESENVOLVIMENTO ;04/02/2014;1169609;(MPDS) MEIO AMBIENTE, PESSOAS E O DESENVOLVIMENTO;26/02/2014;***;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SO;***;***;R. JOSÉ WALDEMAR BARON;000239;***;***;***;CACHOEIRA;82710190
(RBDS) NO RASTRO DA BIODIVERSIDADE E DO DESENVOLVI;14/12/2012;1119982;(RBDS) NO RASTRO DA BIODIVERSIDADE E DO DESENVOLVI;18/02/2013;***;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SO;***;***;R. DIONIZIO MARKOVICZ;000155;***;***;***;CIDADE INDUSTRIAL;81240160
+55 ADMINISTRADORA DE BENS LTDA.;24/03/2016;1263563;+55 ADMINISTRADORA DE BENS LTDA.;30/03/2016;31/12/2017;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;LOTEAMENTO DE IMÓVEIS PRÓPRIOS;ALUGUEL DE IMÓVEIS PRÓPRIOS;R. EVALDO WENDLER;000090;CS68;***;***;SÃO LOURENÇO;82200180
+55 ADMINISTRADORA DE BENS LTDA.;24/03/2016;1351366;+55 ADMINISTRADORA DE BENS LTDA.;20/12/2017;***;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;LOTEAMENTO DE IMÓVEIS PRÓPRIOS;ALUGUEL DE IMÓVEIS PRÓPRIOS;R. EVALDO WENDLER;000090;CS68;***;***;SÃO LOURENÇO;82200180
- ODIR LOPES ACABAMENTOS GRAFICOS - ME;21/10/2003;1033277;***;05/09/2011;27/07/2013;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PE;***;***;RUA WALDIR PONTES;112;***;***;***;CAMPO COMPRIDO;***
- ODIR LOPES ACABAMENTOS GRAFICOS - ME;21/10/2003;1155923;***;20/11/2013;31/12/2014;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PE;***;***;NÃO CONSTA;***;***;***;***;***;***
- ODIR LOPES ACABAMENTOS GRAFICOS - ME;21/10/2003;1204366;***;03/12/2014;***;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PE;***;***;RUA WALDIR PONTES;112;***;***;***;CIDADE INDUSTRIAL;***
- ODIR LOPES ACABAMENTOS GRAFICOS - ME;21/10/2003;1227966;***;17/06/2015;31/12/2016;SERVIÇOS DE ENCADERNAÇÃO E PLASTIFICAÇÃO;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;***;NÃO CONSTA;***;***;***;***;***;***
- ODIR LOPES ACABAMENTOS GRAFICOS - ME;21/10/2003;1295028;***;02/12/2016;***;SERVIÇOS DE ENCADERNAÇÃO E PLASTIFICAÇÃO;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;***;RUA WALDIR PONTES;112;***;***;***;CIDADE INDUSTRIAL;***
- ODIR LOPES ACABAMENTOS GRAFICOS - ME;21/10/2003;621540;***;16/12/2003;31/12/2003;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PE;AGÊNCIAS DE VIAGENS;ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS P;RUA: JOAO DEMBINSKI;27;***;***;***;CAMPO COMPRIDO;***
